Time,FV,TY
1/10/2017 11:00,117.890625,124.84375
1/10/2017 12:00,117.890625,124.828125
1/10/2017 13:00,117.859375,124.75
1/10/2017 14:00,117.859375,124.765625
1/10/2017 15:00,117.84375,124.75
1/10/2017 16:00,117.8515625,124.78125
1/10/2017 17:00,117.859375,124.765625
1/10/2017 19:00,117.8515625,124.75
1/10/2017 20:00,117.84375,124.71875
1/10/2017 21:00,117.8359375,124.71875
1/10/2017 22:00,117.8046875,124.671875
1/10/2017 23:00,117.8125,124.703125
1/11/2017 0:00,117.8125,124.6875
1/11/2017 1:00,117.8359375,124.71875
1/11/2017 2:00,117.84375,124.75
1/11/2017 3:00,117.828125,124.6875
1/11/2017 4:00,117.8671875,124.765625
1/11/2017 5:00,117.8359375,124.703125
1/11/2017 6:00,117.8125,124.65625
1/11/2017 7:00,117.8515625,124.75
1/11/2017 8:00,117.875,124.796875
1/11/2017 9:00,117.90625,124.84375
1/11/2017 10:00,117.7890625,124.640625
1/11/2017 11:00,117.765625,124.65625
1/11/2017 12:00,117.8515625,124.8125
1/11/2017 13:00,117.9453125,124.953125
1/11/2017 14:00,117.9921875,125.015625
1/11/2017 15:00,117.8671875,124.828125
1/11/2017 16:00,117.859375,124.828125
1/11/2017 17:00,117.8046875,124.734375
1/11/2017 19:00,117.890625,124.859375
1/11/2017 20:00,117.90625,124.890625
1/11/2017 21:00,117.9140625,124.921875
1/11/2017 22:00,117.96875,124.984375
1/11/2017 23:00,118.0390625,125.078125
1/12/2017 0:00,118.0234375,125.078125
1/12/2017 1:00,118.0625,125.140625
1/12/2017 2:00,118.078125,125.15625
1/12/2017 3:00,118.109375,125.21875
1/12/2017 4:00,118.15625,125.3125
1/12/2017 5:00,118.125,125.21875
1/12/2017 6:00,118.0546875,125.140625
1/12/2017 7:00,118.03125,125.109375
1/12/2017 8:00,118.015625,125.09375
1/12/2017 9:00,118.015625,125.078125
1/12/2017 10:00,118.0234375,125.125
1/12/2017 11:00,118.09375,125.21875
1/12/2017 12:00,118.09375,125.21875
1/12/2017 13:00,118.0703125,125.21875
1/12/2017 14:00,118,125.0625
1/12/2017 15:00,117.9140625,124.890625
1/12/2017 16:00,117.9453125,124.9375
1/12/2017 17:00,117.9140625,124.875
1/12/2017 19:00,117.921875,124.90625
1/12/2017 20:00,117.8671875,124.8125
1/12/2017 21:00,117.84375,124.78125
1/12/2017 22:00,117.8125,124.734375
1/12/2017 23:00,117.84375,124.765625
1/13/2017 0:00,117.8828125,124.828125
1/13/2017 1:00,117.8828125,124.84375
1/13/2017 2:00,117.8984375,124.859375
1/13/2017 3:00,117.9609375,124.96875
1/13/2017 4:00,117.96875,124.96875
1/13/2017 5:00,118.015625,125.046875
1/13/2017 6:00,118.0078125,125.03125
1/13/2017 7:00,117.96875,125.015625
1/13/2017 8:00,118.015625,125.046875
1/13/2017 9:00,117.859375,124.8125
1/13/2017 10:00,117.625,124.421875
1/13/2017 11:00,117.7265625,124.5625
1/13/2017 12:00,117.7109375,124.546875
1/13/2017 13:00,117.734375,124.578125
1/13/2017 14:00,117.7578125,124.625
1/13/2017 15:00,117.84375,124.78125
1/13/2017 16:00,117.78125,124.671875
1/13/2017 17:00,117.7734375,124.65625
1/15/2017 19:00,117.875,124.828125
1/15/2017 20:00,117.8671875,124.84375
1/15/2017 21:00,117.875,124.859375
1/15/2017 22:00,117.90625,124.875
1/15/2017 23:00,117.890625,124.875
1/16/2017 0:00,117.890625,124.859375
1/16/2017 1:00,117.921875,124.921875
1/16/2017 2:00,117.9765625,125
1/16/2017 3:00,117.8984375,124.875
1/16/2017 4:00,117.8828125,124.828125
1/16/2017 5:00,117.8671875,124.765625
1/16/2017 6:00,117.8515625,124.78125
1/16/2017 7:00,117.921875,124.875
1/16/2017 8:00,117.8984375,124.859375
1/16/2017 9:00,117.8828125,124.828125
1/16/2017 10:00,117.921875,124.890625
1/16/2017 11:00,117.8984375,124.84375
1/16/2017 12:00,117.9140625,124.90625
1/16/2017 13:00,117.875,124.828125
1/16/2017 19:00,117.875,124.828125
1/16/2017 20:00,117.9140625,124.890625
1/16/2017 21:00,117.890625,124.84375
1/16/2017 22:00,117.90625,124.875
1/16/2017 23:00,117.90625,124.890625
1/17/2017 0:00,117.921875,124.90625
1/17/2017 1:00,118,125.03125
1/17/2017 2:00,118.015625,125.078125
1/17/2017 3:00,118,125.0625
1/17/2017 4:00,118.0859375,125.203125
1/17/2017 5:00,118.078125,125.1875
1/17/2017 6:00,118.0703125,125.171875
1/17/2017 7:00,118.1171875,125.28125
1/17/2017 8:00,118,125.046875
1/17/2017 9:00,118.203125,125.34375
1/17/2017 10:00,118.21875,125.359375
1/17/2017 11:00,118.1015625,125.171875
1/17/2017 12:00,118.0703125,125.109375
1/17/2017 13:00,118.078125,125.125
1/17/2017 14:00,118.09375,125.140625
1/17/2017 15:00,118.15625,125.25
1/17/2017 16:00,118.171875,125.25
1/17/2017 17:00,118.171875,125.25
1/17/2017 19:00,118.1328125,125.203125
1/17/2017 20:00,118.140625,125.234375
1/17/2017 21:00,118.09375,125.140625
1/17/2017 22:00,118.1015625,125.140625
1/17/2017 23:00,118.09375,125.125
1/18/2017 0:00,118.09375,125.140625
1/18/2017 1:00,118.0546875,125.0625
1/18/2017 2:00,118.0703125,125.078125
1/18/2017 3:00,118.0390625,125.046875
1/18/2017 4:00,118.0390625,125.03125
1/18/2017 5:00,118.046875,125.046875
1/18/2017 6:00,118.015625,124.96875
1/18/2017 7:00,118.015625,124.96875
1/18/2017 8:00,117.9765625,124.921875
1/18/2017 9:00,117.9296875,124.84375
1/18/2017 10:00,118.0078125,124.9375
1/18/2017 11:00,118,124.90625
1/18/2017 12:00,117.9609375,124.875
1/18/2017 13:00,117.9375,124.84375
1/18/2017 14:00,117.8828125,124.734375
1/18/2017 15:00,117.8828125,124.765625
1/18/2017 16:00,117.65625,124.4375
1/18/2017 17:00,117.5859375,124.328125
1/18/2017 19:00,117.6171875,124.390625
1/18/2017 20:00,117.6328125,124.40625
1/18/2017 21:00,117.625,124.390625
1/18/2017 22:00,117.6328125,124.421875
1/18/2017 23:00,117.640625,124.421875
1/19/2017 0:00,117.65625,124.453125
1/19/2017 1:00,117.6484375,124.453125
1/19/2017 2:00,117.640625,124.4375
1/19/2017 3:00,117.59375,124.3125
1/19/2017 4:00,117.65625,124.421875
1/19/2017 5:00,117.6171875,124.359375
1/19/2017 6:00,117.578125,124.3125
1/19/2017 7:00,117.5859375,124.296875
1/19/2017 8:00,117.5703125,124.265625
1/19/2017 9:00,117.4921875,124.171875
1/19/2017 10:00,117.3984375,123.953125
1/19/2017 11:00,117.46875,124.046875
1/19/2017 12:00,117.4375,124.015625
1/19/2017 13:00,117.421875,123.9375
1/19/2017 14:00,117.4453125,124
1/19/2017 15:00,117.546875,124.15625
1/19/2017 16:00,117.5078125,124.09375
1/19/2017 17:00,117.5,124.046875
1/19/2017 19:00,117.484375,124.046875
1/19/2017 20:00,117.5,124.0625
1/19/2017 21:00,117.6015625,124.203125
1/19/2017 22:00,117.609375,124.21875
1/19/2017 23:00,117.640625,124.25
1/20/2017 0:00,117.6015625,124.1875
1/20/2017 1:00,117.5859375,124.15625
1/20/2017 2:00,117.6328125,124.25
1/20/2017 3:00,117.5625,124.15625
1/20/2017 4:00,117.4765625,124.015625
1/20/2017 5:00,117.375,123.828125
1/20/2017 6:00,117.375,123.84375
1/20/2017 7:00,117.3828125,123.828125
1/20/2017 8:00,117.390625,123.84375
1/20/2017 9:00,117.4921875,124.015625
1/20/2017 10:00,117.4375,123.875
1/20/2017 11:00,117.53125,124
1/20/2017 12:00,117.5,123.953125
1/20/2017 13:00,117.5546875,124
1/20/2017 14:00,117.625,124.109375
1/20/2017 15:00,117.6796875,124.203125
1/20/2017 16:00,117.6796875,124.203125
1/20/2017 17:00,117.671875,124.203125
1/22/2017 19:00,117.8046875,124.4375
1/22/2017 20:00,117.8203125,124.484375
1/22/2017 21:00,117.828125,124.5
1/22/2017 22:00,117.828125,124.5
1/22/2017 23:00,117.8125,124.46875
1/23/2017 0:00,117.7890625,124.421875
1/23/2017 1:00,117.8203125,124.46875
1/23/2017 2:00,117.84375,124.515625
1/23/2017 3:00,117.8125,124.453125
1/23/2017 4:00,117.7578125,124.375
1/23/2017 5:00,117.6953125,124.25
1/23/2017 6:00,117.6875,124.234375
1/23/2017 7:00,117.703125,124.234375
1/23/2017 8:00,117.765625,124.328125
1/23/2017 9:00,117.8125,124.421875
1/23/2017 10:00,117.828125,124.421875
1/23/2017 11:00,117.9921875,124.71875
1/23/2017 12:00,118.0625,124.859375
1/23/2017 13:00,118.03125,124.84375
1/23/2017 14:00,118.0234375,124.796875
1/23/2017 15:00,118.03125,124.828125
1/23/2017 16:00,118.0234375,124.796875
1/23/2017 17:00,118.046875,124.84375
1/23/2017 19:00,118.0234375,124.796875
1/23/2017 20:00,118.0234375,124.828125
1/23/2017 21:00,118.015625,124.8125
1/23/2017 22:00,118.0390625,124.859375
1/23/2017 23:00,118.0625,124.890625
1/24/2017 0:00,118.046875,124.875
1/24/2017 1:00,118.0390625,124.859375
1/24/2017 2:00,118.0078125,124.8125
1/24/2017 3:00,117.96875,124.734375
1/24/2017 4:00,117.96875,124.75
1/24/2017 5:00,117.9375,124.671875
1/24/2017 6:00,117.8984375,124.59375
1/24/2017 7:00,117.90625,124.625
1/24/2017 8:00,117.875,124.546875
1/24/2017 9:00,117.859375,124.546875
1/24/2017 10:00,117.8984375,124.609375
1/24/2017 11:00,117.8828125,124.578125
1/24/2017 12:00,117.8125,124.421875
1/24/2017 13:00,117.8125,124.40625
1/24/2017 14:00,117.7109375,124.28125
1/24/2017 15:00,117.6875,124.234375
1/24/2017 16:00,117.7578125,124.359375
1/24/2017 17:00,117.6953125,124.25
1/24/2017 19:00,117.734375,124.328125
1/24/2017 20:00,117.765625,124.375
1/24/2017 21:00,117.75,124.34375
1/24/2017 22:00,117.7578125,124.34375
1/24/2017 23:00,117.734375,124.3125
1/25/2017 0:00,117.734375,124.3125
1/25/2017 1:00,117.71875,124.28125
1/25/2017 2:00,117.703125,124.25
1/25/2017 3:00,117.71875,124.28125
1/25/2017 4:00,117.6640625,124.1875
1/25/2017 5:00,117.640625,124.15625
1/25/2017 6:00,117.640625,124.140625
1/25/2017 7:00,117.6640625,124.171875
1/25/2017 8:00,117.65625,124.15625
1/25/2017 9:00,117.5859375,124.046875
1/25/2017 10:00,117.546875,123.96875
1/25/2017 11:00,117.5625,123.984375
1/25/2017 12:00,117.546875,123.96875
1/25/2017 13:00,117.5390625,123.921875
1/25/2017 14:00,117.4765625,123.796875
1/25/2017 15:00,117.4765625,123.828125
1/25/2017 16:00,117.5078125,123.84375
1/25/2017 17:00,117.53125,123.890625
1/25/2017 19:00,117.546875,123.921875
1/25/2017 20:00,117.53125,123.859375
1/25/2017 21:00,117.5,123.828125
1/25/2017 22:00,117.5,123.828125
1/25/2017 23:00,117.5,123.828125
1/26/2017 0:00,117.4921875,123.796875
1/26/2017 1:00,117.5,123.8125
1/26/2017 2:00,117.453125,123.75
1/26/2017 3:00,117.453125,123.75
1/26/2017 4:00,117.453125,123.734375
1/26/2017 5:00,117.390625,123.609375
1/26/2017 6:00,117.40625,123.640625
1/26/2017 7:00,117.421875,123.671875
1/26/2017 8:00,117.4140625,123.65625
1/26/2017 9:00,117.4765625,123.765625
1/26/2017 10:00,117.5,123.78125
1/26/2017 11:00,117.3828125,123.59375
1/26/2017 12:00,117.4375,123.703125
1/26/2017 13:00,117.4765625,123.78125
1/26/2017 14:00,117.6328125,123.96875
1/26/2017 15:00,117.625,123.96875
1/26/2017 16:00,117.625,124
1/26/2017 17:00,117.6015625,123.96875
1/26/2017 19:00,117.6171875,123.96875
1/26/2017 20:00,117.59375,123.9375
1/26/2017 21:00,117.578125,123.921875
1/26/2017 22:00,117.5703125,123.90625
1/26/2017 23:00,117.578125,123.921875
1/27/2017 0:00,117.5859375,123.9375
1/27/2017 1:00,117.5703125,123.90625
1/27/2017 2:00,117.5625,123.875
1/27/2017 3:00,117.515625,123.84375
1/27/2017 4:00,117.5234375,123.84375
1/27/2017 5:00,117.59375,123.96875
1/27/2017 6:00,117.5703125,123.921875
1/27/2017 7:00,117.5625,123.90625
